AcquisitionYear,Business,ParentCompany,Category
2004,Anti-spyware,Microsoft,Computing_platform
2005,Identity management,IBM,Computing_platform
2005,Wireless data sharing,Yahoo,Internet_Search
2005,Software,Microsoft,Computing_platform
2005,Online game,Yahoo,Internet_Search
2005,Application Services,IBM,Computing_platform
2016,Employee and Manager Feedback Tool,Twitter,SNS
2005,Web analytics,Google,Internet_Search
2005,Gesture recognition company,Apple,Computing_platform
2005,Community software,Microsoft,Computing_platform
2005,Enterprise Information Integration,IBM,Computing_platform
2005,Application Server,IBM,Computing_platform
2005,Messaging,Microsoft,Computing_platform
2005,Social networking service,Google,Internet_Search
2005,Weblog software,Yahoo,Internet_Search
2005,Voice over Internet Protocol,Yahoo,Internet_Search
2005,Software,Microsoft,Computing_platform
2005,Application Management,IBM,Computing_platform
2005,Widget engine,Yahoo,Internet_Search
2005,Asset Management,IBM,Computing_platform
2005,Enterprise Information Integration,IBM,Computing_platform
2005,Mobile operating system,Google,Internet_Search
2005,AboutFace,Facebook,SNS
2005,VoIP,Microsoft,Computing_platform
2005,Email protection,Microsoft,Computing_platform
2005,Certificate management software,Microsoft,Computing_platform
2005,Calendaring software,Yahoo,Internet_Search
2005,Service Oriented Architecture (SOA),IBM,Computing_platform
2005,Graphics library,Google,Internet_Search
2005,Information management software,IBM,Computing_platform
2005,Network management,IBM,Computing_platform
2005,Social bookmarking,Yahoo,Internet_Search
2005,Portal-based tools,IBM,Computing_platform
2005,Widget engine,Google,Internet_Search
2006,Online music store,Yahoo,Internet_Search
2006,Advertising,Google,Internet_Search
2006,Web search engine,Yahoo,Internet_Search
2006,Software,Microsoft,Computing_platform
2006,IT Financial Management,IBM,Computing_platform
2006,Semiconductor Manufacturing software,IBM,Computing_platform
2006,Supply chain optimization,IBM,Computing_platform
2006,Software,Microsoft,Computing_platform
2006,Weblog software,Google,Internet_Search
2006,Network management,IBM,Computing_platform
2006,Internet software,Microsoft,Computing_platform
2006,Software,Microsoft,Computing_platform
2006,Word processor,Google,Internet_Search
2006,3D modeling software,Google,Internet_Search
2006,Identity management,IBM,Computing_platform
2006,Digital video recorder,Yahoo,Internet_Search
2006,Software Development,IBM,Computing_platform
2006,Mapping software,Microsoft,Computing_platform
2016,Internet service provider,Google,Internet_Search
2006,Video game advertising,Microsoft,Computing_platform
2006,Metadata management,IBM,Computing_platform
2006,Web log analysis,Microsoft,Computing_platform
2006,Online spreadsheets,Google,Internet_Search
2006,Analysis software,Microsoft,Computing_platform
2006,application virtualization software,Microsoft,Computing_platform
2006,Software,Microsoft,Computing_platform
2006,Service Oriented Architecture software,IBM,Computing_platform
2006,Online video editing,Yahoo,Internet_Search
2006,Applications,Microsoft,Computing_platform
2006,Asset Management,IBM,Computing_platform
2006,Video sharing,Google,Internet_Search
2006,Natural language software,Microsoft,Computing_platform
2016,Cloud-based video services,Google,Internet_Search
2006,Content management software,IBM,Computing_platform
2006,Software,Apple,Computing_platform
2006,Online advertising,Yahoo,Internet_Search
2006,Management consulting,IBM,Computing_platform
2006,Information security,IBM,Computing_platform
2006,Web application,Google,Internet_Search
2006,Social media,Yahoo,Internet_Search
2016,Link management,Google,Internet_Search
2007,Social network service,Yahoo,Internet_Search
2007,Telecommunications Management,IBM,Computing_platform
2007,In-game advertising,Google,Internet_Search
2007,Data Mobility,IBM,Computing_platform
2007,Internet search engine,Microsoft,Computing_platform
2007,Enterprise Data Consulting,IBM,Computing_platform
2007,Software tools,Microsoft,Computing_platform
2016,Mobile tool maker,Google,Internet_Search
2007,Online advertising,Google,Internet_Search
2007,Presentation program,Google,Internet_Search
2007,Online advertising,Yahoo,Internet_Search
2007,Mobile phone software,Microsoft,Computing_platform
